sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa,sex_dummy,sex_factor,leverage,cooks_dist
1,65,62,127,3.4,3.18,1,Female,0.004279441876037038,2.7938642027112065e-4
2,58,64,122,4,3.33,0,Male,0.004871313135865923,1.1104505282108081e-5
2,56,60,116,3.75,3.25,0,Male,0.003417438657343728,1.0710127275860667e-4
1,42,53,95,3.75,2.42,1,Female,0.005585065218499791,1.0943988477667076e-4
1,55,52,107,4,2.63,1,Female,0.005261580520072281,2.9625373838122965e-4
2,55,56,111,4,2.91,0,Male,0.003907690035564302,1.0803326335831083e-4
1,57,65,122,2.8,2.83,1,Female,0.004984898574705652,4.739670339681145e-4
1,53,62,115,3.8,2.51,1,Female,0.003559107160186324,4.332491909080439e-4
2,67,77,144,4,3.82,0,Male,0.01154634140582805,3.67928628121335e-4
1,41,44,85,2.6,2.54,1,Female,0.004224858069481906,0.001737049824678006
1,58,70,128,3.75,3.38,1,Female,0.0046846995514844844,2.846530274975946e-4
2,45,57,102,3.75,3.02,0,Male,0.0029941231468973797,8.08975604374704e-5
2,43,45,88,2.8,2.6,0,Male,0.003170472114545542,6.184807834679316e-4
2,50,58,108,3.75,3.81,0,Male,0.002861641133211323,0.0016477291638398088
1,54,66,120,3.5,3.02,1,Female,0.003037480878273823,8.071028076845841e-5
2,55,57,112,3.75,3.48,0,Male,0.0030349055796993576,5.490791750587225e-4
2,44,53,97,3.2,2.15,0,Male,0.0021394965437525493,1.3340870627321017e-4
1,53,68,121,4,3.8,1,Female,0.004767170835421583,0.0015915988118560959
2,54,49,103,3.75,3.13,0,Male,0.002939344587664861,1.7641827774910433e-4
2,47,55,102,4,3.4,0,Male,0.004296407185571914,5.874723950421626e-4
1,64,76,140,4,3.59,1,Female,0.00819654350511488,1.8377078730575971e-4
2,39,33,72,3.25,1.62,0,Male,0.007365625359752383,0.0011758855211039783
1,52,65,117,3.9,3.61,1,Female,0.004081213640759417,0.0010841132899563244
1,49,58,107,3.5,2.54,1,Female,0.0025226267488085543,1.4441856918376997e-5
1,46,40,86,3.5,2.51,1,Female,0.006360245641578622,1.934981250522541e-4
2,43,49,92,2,0,0,Male,0.0081105605479882,0.017129712328427613
1,63,72,135,4,3.72,1,Female,0.006836301882435866,7.286764481542567e-4
2,46,45,91,2.3,0.87,0,Male,0.005447357673170821,0.00380819608570202
1,45,53,98,3.5,2.79,1,Female,0.003461038929843129,2.256492068982497e-4
1,35,45,80,3.5,2,1,Female,0.008516130627598966,2.8563649407459306e-4
2,54,53,107,4,3.69,0,Male,0.00394966031887276,0.0012009780650984235
2,66,66,132,3.75,3.48,0,Male,0.007040257279484408,1.8935919896371578e-4
1,40,50,90,3,2.49,1,Female,0.0033202983069957224,3.888999203768871e-4
2,53,67,120,4,3.92,0,Male,0.0045783953307855845,0.0015269044445280786
1,64,62,126,2.8,3.05,1,Female,0.00614881458833184,0.001213238316659781
1,44,39,83,2.75,2.4,1,Female,0.004574903129944545,0.0010398870091187405
1,69,64,133,3.5,2.71,1,Female,0.005762734924327775,4.2696262060396294e-4
2,47,60,107,3.75,1.58,0,Male,0.0028510232452074896,0.0036272814028372935
1,33,48,81,2,1.38,1,Female,0.007110331620435723,7.617877693678893e-7
1,61,63,124,3.75,2.52,1,Female,0.004035235995908297,7.627166145600518e-4
2,40,42,82,2.75,2.16,0,Male,0.0040175491884914425,1.1505470419969643e-4
1,52,62,114,3,2.57,1,Female,0.0026159252149585495,2.403995198948907e-5
1,56,61,117,2.25,2.64,1,Female,0.007796774685843783,0.0017601648762450536
1,38,49,87,3.5,2.47,1,Female,0.006046708990307344,9.758789640984914e-5
1,54,47,101,3,1,1,Female,0.0020622914443321903,0.0023635926880364038
1,33,43,76,3,2.73,1,Female,0.007210273603657978,0.003875293557394494
2,36,45,81,2.67,2.42,0,Male,0.004335975742272697,8.483444404053251e-4
2,36,47,83,3,2.3,0,Male,0.0036807682508853525,9.013312464563936e-5
2,64,60,124,3.8,3.33,0,Male,0.00484636865128526,6.607730659971625e-5
1,49,42,91,3.1,2.37,1,Female,0.003316343002181147,1.0660343488279175e-4
1,57,66,123,3,2.11,1,Female,0.004294059788364252,7.377369930985435e-4
1,50,60,110,3,2.91,1,Female,0.002210149152407266,4.233465944480859e-4
2,48,49,97,3,3.29,0,Male,0.002335627274435606,0.0015551777800701476
2,54,55,109,3.25,2.67,0,Male,0.002545589235698285,3.775810397503685e-7
1,64,66,130,3.2,2.78,1,Female,0.005502948587082771,4.929328758775748e-6
2,57,50,107,3.8,3.13,0,Male,0.003025561126597637,8.624471621649858e-5
2,49,55,104,2.5,2.94,0,Male,0.005266556556320405,0.0023350559125700477
2,64,68,132,4,4,0,Male,0.007120659528103354,0.0017067004886286883
1,66,57,123,3.75,2.9,1,Female,0.0039055683306324263,3.713067569942136e-5
2,43,46,89,3.5,2.92,0,Male,0.003629562775709429,4.930413942950224e-4
1,46,50,96,2.9,1.91,1,Female,0.0024339558538594343,8.15325068833732e-5
1,41,51,92,2.9,3.11,1,Female,0.0029047216027086485,0.0023095340882929214
1,62,64,126,2.3,2.02,1,Female,0.01038032175228728,4.09338856659869e-4
1,43,63,106,2.8,2.51,1,Female,0.002421920831764148,1.4481512826597823e-4
2,52,52,104,4,3.51,0,Male,0.004118470570550442,7.876413606872977e-4
2,45,54,99,4,3.24,0,Male,0.004661406778958651,3.466931624394552e-4
